BPCDCount,BPCDTime,MPCDCount,MPCDTime,NPCDCount,NPCDTime,CRTime,MTime,TTime
1,0.035,0,0.017,0,0.01,0.004,0,0.063,0.068
1,0.014,0,0.006,0,0.004,0.001,0,0.024,0.026
1,0.021,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.022,0,0.009,0,0.006,0.002,0,0.038,0.04
1,0.021,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.019,0,0.007,0,0.004,0.001,0,0.031,0.033
1,0.014,0,0.006,0,0.003,0.001,0,0.025,0.026
1,0.015,0,0.006,0,0.004,0.001,0,0.026,0.028
1,0.019,0,0.007,0,0.004,0.001,0,0.031,0.033
1,0.026,0,0.01,0,0.007,0.002,0,0.043,0.046
1,0.021,0,0.007,0,0.005,0.001,0,0.034,0.036
1,0.016,0,0.006,0,0.004,0.001,0,0.026,0.028
1,0.022,0,0.007,0,0.005,0.001,0,0.036,0.038
1,0.015,0,0.006,0,0.004,0.001,0,0.026,0.027
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.014,0,0.006,0,0.003,0.001,0,0.023,0.025
1,0.024,0,0.009,0,0.006,0.002,0,0.04,0.043
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.022,0,0.007,0,0.005,0.001,0,0.034,0.036
1,0.018,0,0.006,0,0.004,0.001,0,0.03,0.032
1,0.016,0,0.006,0,0.004,0.001,0,0.027,0.029
1,0.019,0,0.008,0,0.005,0.001,0,0.032,0.035
1,0.016,1,0.012,1,0.034,0.018,0,0.063,0.082
1,0.022,0,0.009,0,0.006,0.002,0,0.038,0.041
1,0.017,0,0.007,0,0.004,0.001,0,0.029,0.031
1,0.047,0,0.005,0,0.02,0.001,0,0.073,0.075
1,0.013,0,0.006,0,0.003,0.001,0,0.023,0.025
1,0.014,0,0.006,0,0.004,0.015,0,0.024,0.039
1,0.014,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.014,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.018,0,0.021,0,0.004,0.001,0,0.045,0.047
1,0.019,0,0.006,0,0.004,0.001,0,0.031,0.033
1,0.025,0,0.009,0,0.006,0.002,0,0.041,0.044
1,0.02,0,0.007,0,0.004,0.001,0,0.032,0.034
1,0.019,0,0.007,0,0.004,0.001,0,0.03,0.032
1,0.023,0,0.009,0,0.006,0.001,0,0.038,0.041
1,0.014,0,0.006,0,0.004,0.001,0,0.024,0.026
1,0.014,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.014,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.021,0,0.009,0,0.006,0.002,0,0.037,0.039
1,0.013,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.021,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.019,0,0.006,0,0.005,0.001,0,0.031,0.034
1,0.016,0,0.006,0,0.004,0.001,0,0.027,0.028
1,0.018,0,0.007,0,0.004,0.001,0,0.03,0.032
1,0.017,0,0.006,0,0.004,0.001,0,0.028,0.03
1,0.015,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.015,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.015,0,0.006,0,0.003,0.001,0,0.025,0.027
1,0.022,0,0.009,0,0.006,0.002,0,0.038,0.041
1,0.021,0,0.007,0,0.005,0.001,0,0.034,0.037
1,0.023,0,0.007,0,0.005,0.001,0,0.035,0.038
1,0.023,0,0.007,0,0.005,0.001,0,0.036,0.038
1,0.022,0,0.007,0,0.004,0.001,0,0.034,0.036
1,0.022,0,0.007,0,0.005,0.001,0,0.035,0.037
1,0.023,0,0.007,0,0.004,0.001,0.001,0.035,0.037
1,0.016,0,0.006,0,0.004,0.001,0,0.026,0.028
1,0.023,0,0.009,0,0.006,0.002,0,0.04,0.043
1,0.013,0,0.006,0,0.003,0.001,0,0.023,0.025
1,0.013,0,0.006,0,0.003,0.001,0,0.023,0.025
1,0.014,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.014,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.022,0,0.009,0,0.006,0.002,0,0.038,0.041
1,0.014,0,0.005,0,0.004,0.001,0,0.024,0.025
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.023,0,0.009,0,0.006,0.002,0,0.039,0.042
1,0.02,0,0.007,0,0.005,0.001,0,0.032,0.034
1,0.018,0,0.023,0,0.004,0.001,0,0.045,0.047
1,0.016,0,0.006,0,0.004,0.001,0,0.027,0.029
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.026
1,0.013,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.014,0,0.006,0,0.004,0.001,0,0.024,0.026
1,0.022,0,0.009,0,0.006,0.002,0,0.038,0.041
1,0.017,0,0.006,0,0.004,0.001,0,0.028,0.03
1,0.013,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.014,0,0.006,0,0.004,0.001,0,0.025,0.026
1,0.013,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.015,0,0.006,0,0.004,0.001,0,0.026,0.028
1,0.019,0,0.006,0,0.004,0.001,0,0.03,0.032
1,0.018,0,0.006,0,0.004,0.001,0,0.029,0.031
1,0.014,1,0.011,1,0.016,0.011,0,0.042,0.053
1,0.013,0,0.005,0,0.004,0.001,0,0.024,0.025
1,0.023,0,0.009,0,0.006,0.002,0,0.039,0.042
1,0.014,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.014,0,0.006,0,0.003,0.001,0,0.024,0.025
1,0.013,0,0.005,0,0.004,0.001,0,0.023,0.025
1,0.022,0,0.009,0,0.006,0.002,0,0.038,0.041
1,0.021,0,0.007,0,0.005,0.001,0,0.033,0.035
1,0.015,0,0.006,0,0.003,0.001,0,0.025,0.027
1,0.016,0,0.006,0,0.004,0.001,0,0.027,0.029
1,0.018,0,0.006,0,0.004,0.001,0,0.029,0.031
1,0.021,0,0.007,0,0.005,0.001,0,0.034,0.036
1,0.02,0,0.007,0,0.004,0.001,0,0.032,0.034
1,0.017,0,0.006,0,0.004,0.001,0,0.028,0.029
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.013,0,0.005,0,0.003,0.001,0,0.023,0.025
1,0.015,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.022,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.015,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.015,0,0.006,0,0.004,0.001,0,0.025,0.027
1,0.015,0,0.006,0,0.003,0.001,0,0.025,0.027
1,0.021,0,0.009,0,0.006,0.002,0,0.037,0.04
1,0.013,0,0.005,0,0.004,0.001,0,0.024,0.025
1,0.02,0,0.007,0,0.005,0.001,0,0.033,0.035
1,0.018,0,0.006,0,0.004,0.001,0,0.029,0.031
